Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
AA,DFW,DTW,10.08,32.896801,-97.038002,42.212398529052734,-83.35340118408203
AA,DFW,BWI,10.04,32.896801,-97.038002,39.1754,-76.668297
AA,CLT,ORD,10.01,35.2140007019043,-80.94309997558594,41.9786,-87.9048
AA,CLT,SLC,9.93,35.2140007019043,-80.94309997558594,40.78839874267578,-111.97799682617188
AA,MIA,MCO,9.93,25.79319953918457,-80.29060363769531,28.429399490356445,-81.30899810791016
AA,EGE,LGA,9.92,39.64260101,-106.9179993,40.77719879,-73.87259674
AA,RNO,ORD,9.91,39.49909973144531,-119.76799774169922,41.9786,-87.9048
AA,DFW,AUS,9.86,32.896801,-97.038002,30.194499969482422,-97.6698989868164
AA,DFW,MCI,9.85,32.896801,-97.038002,39.2976,-94.713898
AA,DFW,SJC,9.84,32.896801,-97.038002,37.362598,-121.929001
AA,DFW,SJU,9.83,32.896801,-97.038002,18.4393997192,-66.0018005371
AA,LAS,MIA,9.81,36.08010101,-115.1520004,25.79319953918457,-80.29060363769531
AA,DFW,STL,9.8,32.896801,-97.038002,38.748697,-90.370003
AA,DFW,RDU,9.78,32.896801,-97.038002,35.877601623535156,-78.7874984741211
AA,SLC,ORD,9.77,40.78839874267578,-111.97799682617188,41.9786,-87.9048
AA,DFW,HDN,9.77,32.896801,-97.038002,40.48120117,-107.2180023
AA,ORD,BOS,9.74,41.9786,-87.9048,42.36429977,-71.00520325
AA,MCO,MIA,9.74,28.429399490356445,-81.30899810791016,25.79319953918457,-80.29060363769531
AA,MCO,DFW,9.69,28.429399490356445,-81.30899810791016,32.896801,-97.038002
AA,MEM,DFW,9.67,35.04240036010742,-89.97669982910156,32.896801,-97.038002
AA,DFW,IAD,9.66,32.896801,-97.038002,38.94449997,-77.45580292
AA,DFW,DAY,9.65,32.896801,-97.038002,39.902400970458984,-84.21939849853516
AA,MIA,CLT,9.64,25.79319953918457,-80.29060363769531,35.2140007019043,-80.94309997558594
AA,MIA,ORD,9.63,25.79319953918457,-80.29060363769531,41.9786,-87.9048
AA,BNA,DFW,9.62,36.1245002746582,-86.6781997680664,32.896801,-97.038002
AA,AUS,PHL,9.62,30.194499969482422,-97.6698989868164,39.87189865112305,-75.24109649658203
AA,PHL,MEM,9.61,39.87189865112305,-75.24109649658203,35.04240036010742,-89.97669982910156
AA,PBI,ORD,9.54,26.68320083618164,-80.09559631347656,41.9786,-87.9048
AA,ELP,ORD,9.5,31.80719948,-106.3779984,41.9786,-87.9048
AA,CLT,LAS,9.49,35.2140007019043,-80.94309997558594,36.08010101,-115.1520004
AA,CLT,PDX,9.37,35.2140007019043,-80.94309997558594,45.58869934,-122.5979996
AA,JFK,MCO,9.34,40.63980103,-73.77890015,28.429399490356445,-81.30899810791016
AA,MIA,DTW,9.34,25.79319953918457,-80.29060363769531,42.212398529052734,-83.35340118408203
AA,DFW,PSP,9.28,32.896801,-97.038002,33.8297004699707,-116.50700378417969
AA,PHL,BOS,9.27,39.87189865112305,-75.24109649658203,42.36429977,-71.00520325
AA,DFW,RSW,9.24,32.896801,-97.038002,26.53619956970215,-81.75520324707031
AA,DFW,LGA,9.16,32.896801,-97.038002,40.77719879,-73.87259674
AA,BZN,DFW,9.15,45.77750015,-111.1529999,32.896801,-97.038002
AA,DTW,PHL,9.14,42.212398529052734,-83.35340118408203,39.87189865112305,-75.24109649658203
AA,DFW,BNA,9.13,32.896801,-97.038002,36.1245002746582,-86.6781997680664
AA,RDU,MIA,9.1,35.877601623535156,-78.7874984741211,25.79319953918457,-80.29060363769531
AA,CLT,BOS,9.1,35.2140007019043,-80.94309997558594,42.36429977,-71.00520325
AA,ORD,MCO,9.08,41.9786,-87.9048,28.429399490356445,-81.30899810791016
AA,PHL,LAS,9.07,39.87189865112305,-75.24109649658203,36.08010101,-115.1520004
AA,BUF,DFW,9.06,42.94049835,-78.73220062,32.896801,-97.038002
AA,LAS,JFK,9.02,36.08010101,-115.1520004,40.63980103,-73.77890015
AA,MSP,ORD,9,44.882,-93.221802,41.9786,-87.9048
AA,DFW,BDL,8.94,32.896801,-97.038002,41.9388999939,-72.68319702149999
AA,SJU,PHL,8.93,18.4393997192,-66.0018005371,39.87189865112305,-75.24109649658203
AA,MSY,DFW,8.9,29.99340057373047,-90.25800323486328,32.896801,-97.038002
AA,CLT,MCO,8.89,35.2140007019043,-80.94309997558594,28.429399490356445,-81.30899810791016
AA,JFK,SFO,8.85,40.63980103,-73.77890015,37.61899948120117,-122.375
AA,IND,DFW,8.85,39.7173,-86.294403,32.896801,-97.038002
AA,ELP,DFW,8.84,31.80719948,-106.3779984,32.896801,-97.038002
AA,LAX,HNL,8.84,33.94250107,-118.4079971,21.32062,-157.924228
AA,IAH,ORD,8.81,29.984399795532227,-95.34140014648438,41.9786,-87.9048
AA,LAS,LAX,8.81,36.08010101,-115.1520004,33.94250107,-118.4079971
AA,CLE,DFW,8.8,41.4117012024,-81.8498001099,32.896801,-97.038002
AA,MCO,ORD,8.78,28.429399490356445,-81.30899810791016,41.9786,-87.9048
AA,LAX,STL,8.78,33.94250107,-118.4079971,38.748697,-90.370003
AA,LAX,CMH,8.75,33.94250107,-118.4079971,39.998001,-82.891899
AA,MIA,BWI,8.73,25.79319953918457,-80.29060363769531,39.1754,-76.668297
AA,STL,DFW,8.69,38.748697,-90.370003,32.896801,-97.038002
AA,SAV,DFW,8.69,32.12760162,-81.20210266,32.896801,-97.038002
AA,LIH,LAX,8.66,21.97599983215332,-159.33900451660156,33.94250107,-118.4079971
AA,DFW,CLT,8.66,32.896801,-97.038002,35.2140007019043,-80.94309997558594
AA,ORD,PHL,8.63,41.9786,-87.9048,39.87189865112305,-75.24109649658203
AA,MCO,PHL,8.57,28.429399490356445,-81.30899810791016,39.87189865112305,-75.24109649658203
AA,SFO,MIA,8.57,37.61899948120117,-122.375,25.79319953918457,-80.29060363769531
AA,DFW,PBI,8.57,32.896801,-97.038002,26.68320083618164,-80.09559631347656
AA,MIA,STX,8.56,25.79319953918457,-80.29060363769531,17.701900482177734,-64.79859924316406
AA,DCA,LGA,8.56,38.8521,-77.037697,40.77719879,-73.87259674
AA,FAT,DFW,8.52,36.77619934082031,-119.71800231933594,32.896801,-97.038002
AA,DFW,GEG,8.51,32.896801,-97.038002,47.61989974975586,-117.53399658203125
AA,LAX,IND,8.5,33.94250107,-118.4079971,39.7173,-86.294403
AA,LAS,DCA,8.5,36.08010101,-115.1520004,38.8521,-77.037697
AA,DTW,ORD,8.5,42.212398529052734,-83.35340118408203,41.9786,-87.9048
AA,MIA,TPA,8.49,25.79319953918457,-80.29060363769531,27.975500106811523,-82.533203125
AA,IAD,MIA,8.46,38.94449997,-77.45580292,25.79319953918457,-80.29060363769531
AA,PNS,DFW,8.44,30.473400115967,-87.186599731445,32.896801,-97.038002
AA,MIA,RDU,8.35,25.79319953918457,-80.29060363769531,35.877601623535156,-78.7874984741211
AA,ORD,AUS,8.32,41.9786,-87.9048,30.194499969482422,-97.6698989868164
AA,ORD,DTW,8.31,41.9786,-87.9048,42.212398529052734,-83.35340118408203
AA,RIC,DFW,8.3,37.50519943237305,-77.3197021484375,32.896801,-97.038002
AA,MTJ,ORD,8.3,38.509799957300004,-107.893997192,41.9786,-87.9048
AA,ORD,DCA,8.3,41.9786,-87.9048,38.8521,-77.037697
AA,DFW,LAX,8.26,32.896801,-97.038002,33.94250107,-118.4079971
AA,ORD,PSP,8.24,41.9786,-87.9048,33.8297004699707,-116.50700378417969
AA,SAT,ORD,8.22,29.533700942993164,-98.46980285644531,41.9786,-87.9048
AA,MCO,JFK,8.19,28.429399490356445,-81.30899810791016,40.63980103,-73.77890015
AA,CLT,LGA,8.18,35.2140007019043,-80.94309997558594,40.77719879,-73.87259674
AA,PHX,PDX,8.16,33.43429946899414,-112.01200103759766,45.58869934,-122.5979996
AA,OMA,DFW,8.13,41.3032,-95.894096,32.896801,-97.038002
AA,LAX,SAT,8.12,33.94250107,-118.4079971,29.533700942993164,-98.46980285644531
AA,MCO,LAX,8.1,28.429399490356445,-81.30899810791016,33.94250107,-118.4079971
AA,PHL,STT,8.09,39.87189865112305,-75.24109649658203,18.337299346923828,-64.97339630126953
AA,MIA,LAX,8.09,25.79319953918457,-80.29060363769531,33.94250107,-118.4079971
AA,ABQ,PHX,8.06,35.040199,-106.609001,33.43429946899414,-112.01200103759766
AA,SEA,DFW,8.05,47.449001,-122.308998,32.896801,-97.038002
AA,TUS,JFK,8.05,32.1161003112793,-110.94100189208984,40.63980103,-73.77890015
AA,MIA,STT,8.03,25.79319953918457,-80.29060363769531,18.337299346923828,-64.97339630126953
AA,JFK,BOS,8.01,40.63980103,-73.77890015,42.36429977,-71.00520325
AA,LAX,SDF,8.01,33.94250107,-118.4079971,38.1744,-85.736
AA,MIA,PHX,7.99,25.79319953918457,-80.29060363769531,33.43429946899414,-112.01200103759766
AA,DFW,DCA,7.98,32.896801,-97.038002,38.8521,-77.037697
AA,TPA,PHL,7.97,27.975500106811523,-82.533203125,39.87189865112305,-75.24109649658203
AA,PHL,MIA,7.97,39.87189865112305,-75.24109649658203,25.79319953918457,-80.29060363769531
AA,DEN,MIA,7.95,39.861698150635,-104.672996521,25.79319953918457,-80.29060363769531
AA,RDU,LAX,7.94,35.877601623535156,-78.7874984741211,33.94250107,-118.4079971
AA,DFW,MSP,7.94,32.896801,-97.038002,44.882,-93.221802
AA,PHL,MCO,7.92,39.87189865112305,-75.24109649658203,28.429399490356445,-81.30899810791016
AA,PHL,CLE,7.89,39.87189865112305,-75.24109649658203,41.4117012024,-81.8498001099
AA,MFE,DFW,7.88,26.17580032,-98.23860168,32.896801,-97.038002
AA,EWR,PHX,7.87,40.692501068115234,-74.168701171875,33.43429946899414,-112.01200103759766
AA,MIA,SAN,7.87,25.79319953918457,-80.29060363769531,32.7336006165,-117.190002441
AA,ORD,PHX,7.85,41.9786,-87.9048,33.43429946899414,-112.01200103759766
AA,KOA,LAX,7.82,19.738783,-156.045603,33.94250107,-118.4079971
AA,PDX,CLT,7.81,45.58869934,-122.5979996,35.2140007019043,-80.94309997558594
AA,ORD,FLL,7.8,41.9786,-87.9048,26.072599,-80.152702
AA,JFK,PIT,7.8,40.63980103,-73.77890015,40.49150085,-80.23290253
AA,ICT,DFW,7.76,37.649899,-97.433098,32.896801,-97.038002
AA,SFO,ORD,7.76,37.61899948120117,-122.375,41.9786,-87.9048
AA,BOS,PHL,7.75,42.36429977,-71.00520325,39.87189865112305,-75.24109649658203
AA,CMH,DFW,7.72,39.998001,-82.891899,32.896801,-97.038002
AA,ATL,DFW,7.71,33.6367,-84.428101,32.896801,-97.038002
AA,MIA,DCA,7.7,25.79319953918457,-80.29060363769531,38.8521,-77.037697
AA,IAD,CLT,7.69,38.94449997,-77.45580292,35.2140007019043,-80.94309997558594
AA,PHX,SEA,7.67,33.43429946899414,-112.01200103759766,47.449001,-122.308998
AA,PHX,JFK,7.65,33.43429946899414,-112.01200103759766,40.63980103,-73.77890015
AA,EWR,MIA,7.64,40.692501068115234,-74.168701171875,25.79319953918457,-80.29060363769531
AA,LGA,RDU,7.63,40.77719879,-73.87259674,35.877601623535156,-78.7874984741211
AA,DTW,DFW,7.63,42.212398529052734,-83.35340118408203,32.896801,-97.038002
AA,PHL,PIT,7.63,39.87189865112305,-75.24109649658203,40.49150085,-80.23290253
AA,PHL,DTW,7.63,39.87189865112305,-75.24109649658203,42.212398529052734,-83.35340118408203
AA,PSP,DFW,7.61,33.8297004699707,-116.50700378417969,32.896801,-97.038002
AA,LAX,MIA,7.61,33.94250107,-118.4079971,25.79319953918457,-80.29060363769531
AA,CLT,STL,7.6,35.2140007019043,-80.94309997558594,38.748697,-90.370003
AA,CLT,SAN,7.59,35.2140007019043,-80.94309997558594,32.7336006165,-117.190002441
AA,CLT,DFW,7.48,35.2140007019043,-80.94309997558594,32.896801,-97.038002
AA,LAX,PHX,7.47,33.94250107,-118.4079971,33.43429946899414,-112.01200103759766
AA,DEN,PHX,7.43,39.861698150635,-104.672996521,33.43429946899414,-112.01200103759766
AA,LAX,LIH,7.43,33.94250107,-118.4079971,21.97599983215332,-159.33900451660156
AA,AUS,ORD,7.42,30.194499969482422,-97.6698989868164,41.9786,-87.9048
AA,IAH,PHL,7.41,29.984399795532227,-95.34140014648438,39.87189865112305,-75.24109649658203
AA,TPA,DFW,7.39,27.975500106811523,-82.533203125,32.896801,-97.038002
AA,SFO,PHX,7.38,37.61899948120117,-122.375,33.43429946899414,-112.01200103759766
AA,DFW,BOI,7.38,32.896801,-97.038002,43.5644,-116.223
AA,MCO,CLT,7.36,28.429399490356445,-81.30899810791016,35.2140007019043,-80.94309997558594
AA,CHS,DFW,7.32,32.89860153,-80.04049683,32.896801,-97.038002
AA,MKE,DFW,7.3,42.947200775146484,-87.89659881591797,32.896801,-97.038002
AA,CLT,SYR,7.28,35.2140007019043,-80.94309997558594,43.11119842529297,-76.1063003540039
AA,TPA,MIA,7.28,27.975500106811523,-82.533203125,25.79319953918457,-80.29060363769531
AA,SAT,DFW,7.27,29.533700942993164,-98.46980285644531,32.896801,-97.038002
AA,MSY,ORD,7.26,29.99340057373047,-90.25800323486328,41.9786,-87.9048
AA,LAX,LAS,7.26,33.94250107,-118.4079971,36.08010101,-115.1520004
AA,TYS,DFW,7.23,35.81100082,-83.9940033,32.896801,-97.038002
AA,SYR,ORD,7.23,43.11119842529297,-76.1063003540039,41.9786,-87.9048
AA,ORD,PBI,7.21,41.9786,-87.9048,26.68320083618164,-80.09559631347656
AA,PHX,HNL,7.19,33.43429946899414,-112.01200103759766,21.32062,-157.924228
AA,KOA,DFW,7.17,19.738783,-156.045603,32.896801,-97.038002
AA,CLT,PHL,7.17,35.2140007019043,-80.94309997558594,39.87189865112305,-75.24109649658203
AA,PHL,DFW,7.16,39.87189865112305,-75.24109649658203,32.896801,-97.038002
