Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
UA,BNA,SFO,16.54,36.1245002746582,-86.6781997680664,37.61899948120117,-122.375
UA,ORD,SMF,16.48,41.9786,-87.9048,38.69540023803711,-121.59100341796875
UA,TPA,EWR,16.45,27.975500106811523,-82.533203125,40.692501068115234,-74.168701171875
UA,PVD,MSP,16.4,41.732601,-71.420403,44.882,-93.221802
UA,PHL,SFO,16.36,39.87189865112305,-75.24109649658203,37.61899948120117,-122.375
UA,MCO,EWR,16.22,28.429399490356445,-81.30899810791016,40.692501068115234,-74.168701171875
UA,SAV,ORD,16.2,32.12760162,-81.20210266,41.9786,-87.9048
UA,FAT,ORD,16.16,36.77619934082031,-119.71800231933594,41.9786,-87.9048
UA,ORD,PVD,16.13,41.9786,-87.9048,41.732601,-71.420403
UA,EWR,ORD,16.1,40.692501068115234,-74.168701171875,41.9786,-87.9048
UA,IAD,CVG,16.01,38.94449997,-77.45580292,39.0488014221,-84.6678009033
UA,MSY,IAD,15.99,29.99340057373047,-90.25800323486328,38.94449997,-77.45580292
UA,DEN,SFO,15.99,39.861698150635,-104.672996521,37.61899948120117,-122.375
UA,MSY,SFO,15.88,29.99340057373047,-90.25800323486328,37.61899948120117,-122.375
UA,ORD,SYR,15.87,41.9786,-87.9048,43.11119842529297,-76.1063003540039
UA,IAH,MAF,15.58,29.984399795532227,-95.34140014648438,31.9424991607666,-102.2020034790039
UA,EWR,DFW,15.47,40.692501068115234,-74.168701171875,32.896801,-97.038002
UA,CVG,SFO,15.3,39.0488014221,-84.6678009033,37.61899948120117,-122.375
UA,EWR,SFO,15.26,40.692501068115234,-74.168701171875,37.61899948120117,-122.375
UA,EWR,SLC,15.22,40.692501068115234,-74.168701171875,40.78839874267578,-111.97799682617188
UA,FCA,ORD,15.21,48.31050109863281,-114.25599670410156,41.9786,-87.9048
UA,DTW,IAD,15.18,42.212398529052734,-83.35340118408203,38.94449997,-77.45580292
UA,EWR,BDL,15.14,40.692501068115234,-74.168701171875,41.9388999939,-72.68319702149999
UA,PBI,ORD,15.11,26.68320083618164,-80.09559631347656,41.9786,-87.9048
UA,ORD,LGA,14.94,41.9786,-87.9048,40.77719879,-73.87259674
UA,STL,ORD,14.92,38.748697,-90.370003,41.9786,-87.9048
