Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
DL,MSP,BNA,-2.86,44.882,-93.221802,36.1245002746582,-86.6781997680664
DL,JFK,SNA,-2.86,40.63980103,-73.77890015,33.67570114,-117.8679962
DL,LAS,DTW,-2.88,36.08010101,-115.1520004,42.212398529052734,-83.35340118408203
DL,SAN,DTW,-2.89,32.7336006165,-117.190002441,42.212398529052734,-83.35340118408203
DL,ATL,PSP,-2.91,33.6367,-84.428101,33.8297004699707,-116.50700378417969
DL,JFK,PBI,-2.95,40.63980103,-73.77890015,26.68320083618164,-80.09559631347656
DL,BMI,ATL,-2.95,40.47710037,-88.91590118,33.6367,-84.428101
DL,PSC,SLC,-2.98,46.26470184326172,-119.11900329589844,40.78839874267578,-111.97799682617188
DL,SMF,DTW,-3.02,38.69540023803711,-121.59100341796875,42.212398529052734,-83.35340118408203
DL,GRB,ATL,-3.02,44.48509979248047,-88.12960052490234,33.6367,-84.428101
DL,PSP,SEA,-3.07,33.8297004699707,-116.50700378417969,47.449001,-122.308998
DL,ANC,SEA,-3.08,61.174400329589844,-149.99600219726562,47.449001,-122.308998
DL,MSP,DSM,-3.11,44.882,-93.221802,41.534000396728516,-93.66310119628906
DL,LGA,MYR,-3.16,40.77719879,-73.87259674,33.6796989441,-78.9282989502
DL,PIT,DTW,-3.18,40.49150085,-80.23290253,42.212398529052734,-83.35340118408203
DL,TPA,RDU,-3.21,27.975500106811523,-82.533203125,35.877601623535156,-78.7874984741211
DL,SYR,DTW,-3.25,43.11119842529297,-76.1063003540039,42.212398529052734,-83.35340118408203
DL,MSP,ABQ,-3.26,44.882,-93.221802,35.040199,-106.609001
DL,TYS,DTW,-3.33,35.81100082,-83.9940033,42.212398529052734,-83.35340118408203
DL,CLE,SLC,-3.37,41.4117012024,-81.8498001099,40.78839874267578,-111.97799682617188
DL,RSW,IND,-3.38,26.53619956970215,-81.75520324707031,39.7173,-86.294403
DL,DTW,IAD,-3.4,42.212398529052734,-83.35340118408203,38.94449997,-77.45580292
DL,DFW,FAR,-3.4,32.896801,-97.038002,46.92070007324219,-96.81580352783203
DL,MSP,SDF,-3.45,44.882,-93.221802,38.1744,-85.736
DL,IAD,DTW,-3.51,38.94449997,-77.45580292,42.212398529052734,-83.35340118408203
DL,LAS,RDU,-3.56,36.08010101,-115.1520004,35.877601623535156,-78.7874984741211
DL,ATL,MTJ,-3.63,33.6367,-84.428101,38.509799957300004,-107.893997192
DL,MSP,FLL,-3.67,44.882,-93.221802,26.072599,-80.152702
DL,MSP,TVC,-3.7,44.882,-93.221802,44.74140167236328,-85.58219909667969
DL,HNL,MSP,-3.82,21.32062,-157.924228,44.882,-93.221802
DL,DTW,SRQ,-3.85,42.212398529052734,-83.35340118408203,27.39539909362793,-82.55439758300781
DL,MEM,DTW,-3.86,35.04240036010742,-89.97669982910156,42.212398529052734,-83.35340118408203
DL,AUS,BOS,-3.87,30.194499969482422,-97.6698989868164,42.36429977,-71.00520325
DL,STL,SLC,-3.89,38.748697,-90.370003,40.78839874267578,-111.97799682617188
DL,RDU,TPA,-3.91,35.877601623535156,-78.7874984741211,27.975500106811523,-82.533203125
DL,PHX,DTW,-3.92,33.43429946899414,-112.01200103759766,42.212398529052734,-83.35340118408203
DL,LGA,CVG,-3.92,40.77719879,-73.87259674,39.0488014221,-84.6678009033
DL,PDX,HNL,-3.98,45.58869934,-122.5979996,21.32062,-157.924228
DL,BNA,MSP,-4.1,36.1245002746582,-86.6781997680664,44.882,-93.221802
DL,MCO,BDL,-4.18,28.429399490356445,-81.30899810791016,41.9388999939,-72.68319702149999
DL,ATW,DTW,-4.18,44.258098602299995,-88.5190963745,42.212398529052734,-83.35340118408203
DL,IAD,SEA,-4.34,38.94449997,-77.45580292,47.449001,-122.308998
DL,TVC,ATL,-4.34,44.74140167236328,-85.58219909667969,33.6367,-84.428101
DL,SBN,DTW,-4.36,41.70869827270508,-86.31729888916016,42.212398529052734,-83.35340118408203
DL,ALB,DTW,-4.39,42.74829864501953,-73.80169677734375,42.212398529052734,-83.35340118408203
DL,LAS,BNA,-4.4,36.08010101,-115.1520004,36.1245002746582,-86.6781997680664
DL,PIT,SLC,-4.44,40.49150085,-80.23290253,40.78839874267578,-111.97799682617188
DL,HNL,SLC,-4.48,21.32062,-157.924228,40.78839874267578,-111.97799682617188
DL,MKE,LGA,-4.53,42.947200775146484,-87.89659881591797,40.77719879,-73.87259674
DL,CMH,MCO,-4.6,39.998001,-82.891899,28.429399490356445,-81.30899810791016
DL,GRB,DTW,-4.6,44.48509979248047,-88.12960052490234,42.212398529052734,-83.35340118408203
DL,CVG,SEA,-4.62,39.0488014221,-84.6678009033,47.449001,-122.308998
DL,MSP,MSY,-4.63,44.882,-93.221802,29.99340057373047,-90.25800323486328
DL,DTW,MDW,-4.7,42.212398529052734,-83.35340118408203,41.785999,-87.752403
DL,IND,SLC,-4.7,39.7173,-86.294403,40.78839874267578,-111.97799682617188
